id,titolo,tipologia,creatore,data,lingua,luogo,soggetto,autorita_persona,autorita_luogo,autorita_soggetto,xml_dc,xml_tei
canzoniere,Canzoniere (Rerum vulgarium fragmenta),testo,Francesco Petrarca,1336-1374,volgare,Valchiusa / Arquà,"Lirica volgare, sonetto, petrarchismo",https://viaf.org/viaf/39382430/,https://www.geonames.org/3018066,https://id.loc.gov/authorities/subjects/sh85068816,canzoniere-dc.xml,canzoniere-tei.xml
trionfi,Trionfi,testo,Francesco Petrarca,1351-1374,volgare,Italia,Poema allegorico,https://viaf.org/viaf/39382430/,https://www.geonames.org/3182805,https://id.loc.gov/authorities/subjects/sh85068816,trionfi-dc.xml,
secretum,Secretum (De secreto conflictu curarum mearum),testo,Francesco Petrarca,1347-1353,latino,Valchiusa,"Dialogo filosofico, introspezione",https://viaf.org/viaf/39382430/,https://www.geonames.org/3018066,https://id.loc.gov/authorities/subjects/sh85074968,secretum-dc.xml,secretum-tei.xml
africa,Africa,testo,Francesco Petrarca,1338-1343,latino,Valchiusa,"Poema epico latino, Scipione",https://viaf.org/viaf/39382430/,https://www.geonames.org/3018066,https://id.loc.gov/authorities/subjects/sh85074968,africa-dc.xml,
deviris,De viris illustribus,testo,Francesco Petrarca,1337-1353,latino,Valchiusa / Arquà,"Biografie, storiografia, umanesimo",https://viaf.org/viaf/39382430/,https://www.geonames.org/3182805,https://id.loc.gov/authorities/subjects/sh85074968,deviris-dc.xml,
familiares,Rerum familiarium libri (Familiares),testo,Francesco Petrarca,1325-1366,latino,Europa,"Epistolografia, prosa latina",https://viaf.org/viaf/39382430/,https://www.geonames.org/3035681,https://id.loc.gov/authorities/subjects/sh85074968,familiares-dc.xml,
ventoso,"L'ascensione al Monte Ventoso (Fam. IV,1)",testo,Francesco Petrarca,1336?,latino,Mont Ventoux,"Lettera, paesaggio, introspezione",https://viaf.org/viaf/39382430/,https://www.geonames.org/2970031,https://id.loc.gov/authorities/subjects/sh85074968,ventoso-dc.xml,ventoso-tei.xml
vat3195,Autografo del Canzoniere (Vat. Lat. 3195),immagine,Francesco Petrarca; Giovanni Malpaghini,1366-1374 ca.,volgare,Biblioteca Apostolica Vaticana,"Manoscritto, codicologia, autografo",https://viaf.org/viaf/39382430/,https://www.geonames.org/3169070,https://id.loc.gov/authorities/names/n79092622,vat3195-dc.xml,
ritratto,Ritratto di Petrarca (Altichiero),immagine,Altichiero da Zevio,1376 ca.,-,Padova,"Ritrattistica, iconografia",https://viaf.org/viaf/39382430/,https://www.geonames.org/3171728,https://id.loc.gov/authorities/names/n79092622,ritratto-dc.xml,
letturarvf,Lettura del sonetto 'Voi ch'ascoltate' (RVF 1),audio,Sergio Baldelli (lettore); Francesco Petrarca (autore del testo),registrazione LibriVox (s.d.),volgare,-,"Recitazione, poesia, oralità",https://viaf.org/viaf/39382430/,https://www.geonames.org/3182805,https://id.loc.gov/authorities/subjects/sh85068816,letturarvf-dc.xml,
arqua,Casa del Petrarca ad Arquà,immagine,-,XIV sec.,-,Arquà Petrarca (Padova),"Casa-museo, luoghi petrarcheschi",https://viaf.org/viaf/39382430/,https://www.geonames.org/11496398,https://id.loc.gov/authorities/names/n79092622,arqua-dc.xml,
